"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"SNGP","SUI NORTHERN GAS PIPELINES LIMITED","1,941,097.00"," 248,601,497.42 ","1,180,005.00"," 154,964,660.96 ","60.79 ","62.33 "
"SPEL","SPEL LIMITED","1,636,058.00"," 103,594,992.15 ","1,175,392.00"," 74,519,354.91 ","71.84 ","71.93 "
"SPL","SITARA PEROXIDE LIMITED","12,932.00"," 257,014.42 ","12,776.00"," 253,918.93 ","98.79 ","98.80 "
"SPWL","SAIF POWER LIMITED","276,224.00"," 2,780,784.25 ","244,789.00"," 2,466,274.40 ","88.62 ","88.69 "
"SRVI","SERVICE INDUSTRIES LIMITED","5,986.00"," 8,402,085.77 ","5,480.00"," 7,693,550.30 ","91.55 ","91.57 "
"SSGC","SUI SOUTHERN GAS COMPANY LIMITED","5,311,183.00"," 217,422,035.63 ","3,010,788.00"," 123,524,766.95 ","56.69 ","56.81 "
"SSML","SARITOW SPINNING MILLS LIMITED","425,576.00"," 7,473,632.22 ","395,136.00"," 6,946,894.66 ","92.85 ","92.95 "
"SSOM","S. S. OIL MILLS LIMITED","22,894.00"," 9,185,243.83 ","19,835.00"," 7,959,488.78 ","86.64 ","86.66 "
"STCL","SHABBIR TILES AND CERAMICS LIMITED","379,336.00"," 7,006,853.32 ","238,039.00"," 4,391,196.74 ","62.75 ","62.67 "
"STJT","SHAHTAJ TEXTILE LIMITED","20,825.00"," 2,127,653.62 ","14,506.00"," 1,500,447.74 ","69.66 ","70.52 "
"STL","SUPERNET TECHNOLOGIES LIMITED","3,968.00"," 6,388,930.76 ","2,988.00"," 4,802,902.21 ","75.30 ","75.18 "
"STPL","SIDDIQSONS TIN PLATE LIMITED","25,506,289.00"," 222,209,449.36 ","9,624,253.00"," 84,423,067.48 ","37.73 ","37.99 "
"STYLERS","STYLERS INTERNATIONAL LIMITED","1,043.00"," 43,278.34 ","1,043.00"," 43,278.34 ","100.00 ","100.00 "
"SURC","SURAJ COTTON MILLS LIMITED","12,692.00"," 1,549,134.60 ","12,492.00"," 1,524,932.60 ","98.42 ","98.44 "
"SUTM","SUNRAYS TEXTILE MILLS LIMITED","3,795.00"," 545,641.20 ","2,793.00"," 401,863.20 ","73.60 ","73.65 "
"SYM","SYMMETRY GROUP LIMITED","2,047,969.00"," 29,378,116.60 ","1,265,572.00"," 18,257,021.67 ","61.80 ","62.14 "
"SYS","SYSTEMS LIMITED","1,550,792.00"," 241,554,404.08 ","1,050,944.00"," 167,377,824.60 ","67.77 ","69.29 "
"SZTM","SHAHZAD TEXTILE MILLS LIMITED","2,570.00"," 145,451.81 ","2,570.00"," 145,451.81 ","100.00 ","100.00 "
"TATM","TATA TEXTILE MILLS LIMITED","52,774.00"," 6,978,538.39 ","41,933.00"," 5,545,052.44 ","79.46 ","79.46 "
"TBL","TREET BATTERY LIMITED","13,764,530.00"," 187,117,508.23 ","6,814,199.00"," 93,003,281.62 ","49.51 ","49.70 "
"TCORP","TARIQ CORPORATION LIMITED","15,252.00"," 276,047.45 ","10,681.00"," 193,784.30 ","70.03 ","70.20 "
"TCORPCPS","TARIQ CORPORATION LTD-CUM&CONV.PREF.SH.","524.00"," 4,206.04 ","524.00"," 4,206.04 ","100.00 ","100.00 "
